
['EP3518640A1 (B1) ¡E 2019-07-31 ¡E QUANTA COMP INC\n', ' AT Lapse: 30.03.2022\n', ' BE  \n', ' BG Lapse: 30.06.2022\n', ' CH Lapse: 31.08.2022\n', 'CY  \n', ' CZ Lapse: 30.03.2022\n', ' DE  \n', ' DK Lapse: 30.03.2022\n', ' EE Lapse: 30.03.2022\n', ' ES Lapse: 30.03.2022\n', ' FI Lapse: 30.03.2022\n', ' FR  \n', ' GB  \n', ' GR Lapse: 01.07.2022\n', ' HR Lapse: 30.03.2022\n', ' HU  \n', ' IE  \n', ' IS Lapse: 30.07.2022\n', ' IT  \n', ' LI Lapse: 31.08.2022\n', ' LT Lapse: 30.03.2022\n', ' LU Lapse: 06.08.2022\n', 'LV Lapse: 30.03.2022\n', ' MC Lapse: 30.03.2022\n', ' MK  \n', ' MT  \n', ' NL Lapse: 30.03.2022\n', ' NO Lapse: 30.06.2022\n', ' PL Lapse: 30.03.2022\n', ' PT Lapse: 01.08.2022\n', ' RO Lapse: 30.03.2022\n', ' RS Lapse: 30.03.2022\n', ' SE Lapse: 30.03.2022\n', ' SI  \n', ' SK Lapse: 30.03.2022\n', ' SM Lapse: 30.03.2022\n', ' TR  \n', 'x', 'x']

['EP3349118A1 (B1) ¡E 2018-07-18 ¡E QUANTA COMP INC\n', ' AT Lapse: 06.05.2020\n', ' BE Lapse: 30.06.2020\n', ' BG Lapse: 06.08.2020\n', ' CH Lapse: 30.06.2020\n', 'CY Lapse: 06.05.2020\n', ' CZ Lapse: 06.05.2020\n', ' DE  \n', ' DK Lapse: 06.05.2020\n', ' EE Lapse: 06.05.2020\n', ' ES Lapse: 06.05.2020\n', ' FI Lapse: 06.05.2020\n', ' FR  \n', ' GB  \n', ' GR Lapse: 07.08.2020\n', ' HR Lapse: 06.05.2020\n', ' HU Lapse: 22.06.2017\n', ' IE Lapse: 22.06.2020\n', ' IS Lapse: 06.09.2020\n', ' IT Lapse: 06.05.2020\n', ' LI Lapse: 30.06.2020\n', ' LT Lapse: 06.05.2020\n', ' LU Lapse: 22.06.2020\n', 'LV Lapse: 06.05.2020\n', ' MC Lapse: 06.05.2020\n', ' MK Lapse: 06.05.2020\n', ' MT Lapse: 06.05.2020\n', ' NL Lapse: 06.05.2020\n', ' NO Lapse: 06.08.2020\n', ' PL Lapse: 06.05.2020\n', ' PT Lapse: 07.09.2020\n', ' RO Lapse: 06.05.2020\n', ' RS Lapse: 06.05.2020\n', ' SE Lapse: 06.05.2020\n', ' SI Lapse: 06.05.2020\n', ' SK Lapse: 06.05.2020\n', ' SM Lapse: 06.05.2020\n', ' TR Lapse: 06.05.2020\n', 'x', 'x']

['EP3016226A1 (B1) ¡E 2016-05-04 ¡E QUANTA COMP INC\n', ' AT Lapse: 10.07.2019\n', ' BE Lapse: 31.05.2020\n', ' BG Lapse: 10.10.2019\n', ' CH Lapse: 31.05.2020\n', 'CY Lapse: 10.07.2019\n', ' CZ Lapse: 10.07.2019\n', ' DE  \n', ' DK Lapse: 10.07.2019\n', ' EE Lapse: 10.07.2019\n', ' ES Lapse: 10.07.2019\n', ' FI Lapse: 10.07.2019\n', ' FR  \n', ' GB  \n', ' GR Lapse: 11.10.2019\n', ' HR Lapse: 10.07.2019\n', ' HU Lapse: 27.05.2015\n', ' IE Lapse: 27.05.2020\n', ' IS Lapse: 10.11.2019\n', ' IT Lapse: 10.07.2019\n', ' LI Lapse: 31.05.2020\n', ' LT Lapse: 10.07.2019\n', ' LU Lapse: 27.05.2020\n', 'LV Lapse: 10.07.2019\n', ' MC Lapse: 10.07.2019\n', ' MK Lapse: 10.07.2019\n', ' MT Lapse: 10.07.2019\n', ' NL Lapse: 10.07.2019\n', ' NO Lapse: 10.10.2019\n', ' PL Lapse: 10.07.2019\n', ' PT Lapse: 11.11.2019\n', ' RO Lapse: 10.07.2019\n', ' RS Lapse: 10.07.2019\n', ' SE Lapse: 10.07.2019\n', ' SI Lapse: 10.07.2019\n', ' SK Lapse: 10.07.2019\n', ' SM Lapse: 10.07.2019\n', ' TR Lapse: 10.07.2019\n', 'x', 'x']

['EP3016317A1 (B1) ¡E 2016-05-04 ¡E QUANTA COMP INC\n', ' AT Lapse: 03.05.2017\n', ' BE Lapse: 31.07.2017\n', ' BG Lapse: 03.08.2017\n', ' CH  \n', 'CY Lapse: 03.05.2017\n', ' CZ Lapse: 03.05.2017\n', ' DE  \n', ' DK Lapse: 03.05.2017\n', ' EE Lapse: 03.05.2017\n', ' ES Lapse: 03.05.2017\n', ' FI Lapse: 03.05.2017\n', ' FR  \n', ' GB  \n', ' GR Lapse: 04.08.2017\n', ' HR Lapse: 03.05.2017\n', ' HU Lapse: 23.07.2015\n', ' IE Lapse: 23.07.2017\n', ' IS Lapse: 03.09.2017\n', ' IT Lapse: 03.05.2017\n', ' LI  \n', ' LT Lapse: 03.05.2017\n', ' LU Lapse: 23.07.2017\n', 'LV Lapse: 03.05.2017\n', ' MC Lapse: 03.05.2017\n', ' MK Lapse: 03.05.2017\n', ' MT Lapse: 23.07.2017\n', ' NL Lapse: 03.05.2017\n', ' NO Lapse: 03.08.2017\n', ' PL Lapse: 03.05.2017\n', ' PT Lapse: 03.05.2017\n', ' RO Lapse: 03.05.2017\n', ' RS Lapse: 03.05.2017\n', ' SE Lapse: 03.05.2017\n', ' SI Lapse: 03.05.2017\n', ' SK Lapse: 03.05.2017\n', ' SM Lapse: 03.05.2017\n', ' TR Lapse: 03.05.2017\n', 'x', 'x']

['EP3367538A1 (B1) ¡E 2018-08-29 ¡E QUANTA COMP INC\n', ' AT Lapse: 20.10.2021\n', ' BE  \n', ' BG Lapse: 20.01.2022\n', ' CH Lapse: 30.06.2022\n', 'CY  \n', ' CZ Lapse: 20.10.2021\n', ' DE  \n', ' DK Lapse: 20.10.2021\n', ' EE Lapse: 20.10.2021\n', ' ES Lapse: 20.10.2021\n', ' FI Lapse: 20.10.2021\n', ' FR  \n', ' GB  \n', ' GR Lapse: 21.01.2022\n', ' HR Lapse: 20.10.2021\n', ' HU  \n', ' IE Lapse: 07.06.2022\n', ' IS Lapse: 20.02.2022\n', ' IT  \n', ' LI Lapse: 30.06.2022\n', ' LT Lapse: 20.10.2021\n', ' LU Lapse: 07.06.2022\n', 'LV Lapse: 20.10.2021\n', ' MC Lapse: 20.10.2021\n', ' MK  \n', ' MT  \n', ' NL Lapse: 20.10.2021\n', ' NO Lapse: 20.01.2022\n', ' PL Lapse: 20.10.2021\n', ' PT Lapse: 21.02.2022\n', ' RO Lapse: 20.10.2021\n', ' RS Lapse: 20.10.2021\n', ' SE Lapse: 20.10.2021\n', ' SI Lapse: 20.10.2021\n', ' SK Lapse: 20.10.2021\n', ' SM Lapse: 20.10.2021\n', ' TR  \n', 'x', 'x']
